id;creation_date;avis_tl;status_demande;date_debut_conge;date_fin_conge;nombre_jour
1;2022-10-07T02:24:06;false;ENCOURS;2022-10-07T21:45:08;2022-10-07T08:12:02;19898
2;2022-10-07T14:01:45;false;ENCOURS;2022-10-07T14:39:34;2022-10-07T10:09:51;36095
3;2022-10-07T21:50:46;false;TRAITE;2022-10-07T20:15:36;2022-10-07T22:31:19;51441
4;2022-10-07T22:11:17;true;TRAITE;2022-10-08T00:08:44;2022-10-07T04:52:35;74102
5;2022-10-07T09:14:25;false;ENCOURS;2022-10-07T11:24:42;2022-10-07T20:28:22;82712
6;2022-10-07T02:00:13;true;TRAITE;2022-10-07T04:36:01;2022-10-08T00:24:57;60096
7;2022-10-07T23:14:04;true;TRAITE;2022-10-08T01:30:50;2022-10-07T13:38:38;63039
8;2022-10-07T16:41:16;true;TRAITE;2022-10-07T10:05:20;2022-10-07T15:05:10;51650
9;2022-10-07T10:43:03;true;ENCOURS;2022-10-07T10:25:23;2022-10-07T12:14:14;4563
10;2022-10-07T16:38:59;false;TRAITE;2022-10-07T13:30:13;2022-10-07T06:24:44;81104
