id;nom_projet;pays_projet;region_projet;date_debut;nombre_ressource;date_fin;competance_demander
1;Technicien;Persevering program Account;Roumanie;2022-10-07T09:16:45;80226;2022-10-07T02:26:28;world-class systems
2;Administrateur Metal Account;THX interface;e-services;2022-10-07T13:36:16;82093;2022-10-07T03:52:20;Gambie
3;bluetooth tan;Thaïlande;granular b Books;2022-10-07T07:11:22;65615;2022-10-07T20:41:41;utilize
4;Electronics;tangible up PNG;b bypass;2022-10-07T03:06:40;81552;2022-10-07T19:45:08;parse
5;multi-state a Lepic;channels Loan Sports;Bedfordshire;2022-10-07T20:26:16;33426;2022-10-07T05:48:16;Unbranded solutions Clothing
6;haptic Alsace;Stagiaire;forecast SSL Chips;2022-10-07T20:11:15;66149;2022-10-08T01:08:09;Up-sized
7;synergize CSS Plastic;yellow calculate Incredible;redefine action-items scale;2022-10-07T09:49:47;26929;2022-10-07T22:46:55;Wooden
8;programming content Money;24/365 Hat;generating Chicken a;2022-10-07T11:46:26;18122;2022-10-07T20:05:20;monitor Ergonomic
9;challenge Manager CSS;stable Movies Lepic;strategy Small;2022-10-07T16:34:24;82621;2022-10-07T23:06:30;Avon Bacon deposit
10;Incredible indexing;d'Assas calculating Nord-Pas-de-Calais;Savings;2022-10-07T23:03:39;59238;2022-10-07T21:20:35;Fresh Cotton b
